Entity,Median age,Share who is 65 or over (%)
Afghanistan,18,3
Albania,38,14
Algeria,29,6
Angola,16,2
Antigua and Barbuda,32,9
Argentina,31,11
Armenia,35,11
Aruba,41,14
Australia,37,16
Austria,44,19
Azerbaijan,32,6
Bahamas,34,7
Bahrain,32,2
Bangladesh,27,5
Barbados,39,16
Belarus,40,15
Belgium,41,19
Belize,25,5
Benin,18,3
Bhutan,28,6
Bolivia,25,7
Bosnia and Herzegovina,42,16
Botswana,25,4
Brazil,33,9
Brunei,32,5
Bulgaria,44,21
Burkina Faso,17,2
Burundi,17,2
Cambodia,25,5
Cameroon,18,3
Canada,41,17
Cape Verde,25,5
Central African Republic,18,3
Chad,16,2
Channel Islands,44,17
Chile,35,12
China,38,11
Colombia,32,8
Comoros,20,3
Congo,19,3
Costa Rica,33,10
Cote d'Ivoire,18,3
Croatia,44,20
Cuba,43,15
Curacao,41,17
Cyprus,37,14
Czech Republic,43,19
Democratic Republic of Congo,17,3
Denmark,42,20
Djibouti,25,5
Dominican Republic,27,7
Ecuador,28,7
Egypt,25,5
El Salvador,27,8
Equatorial Guinea,22,2
Eritrea,19,4
Estonia,42,20
Ethiopia,19,4
Fiji,28,5
Finland,42,22
France,42,20
French Polynesia,32,8
Gabon,23,4
Gambia,17,3
Georgia,38,15
Germany,46,21
Ghana,21,3
Greece,45,22
Grenada,29,10
Guam,31,10
Guatemala,22,5
Guinea,19,3
Guinea-Bissau,19,3
Guyana,26,6
Haiti,24,5
Honduras,24,5
Hong Kong,44,17
Hungary,43,19
Iceland,37,15
India,28,6
Indonesia,29,6
Iran,32,6
Iraq,20,3
Ireland,38,14
Israel,30,12
Italy,47,23
Jamaica,31,9
Japan,48,28
Jordan,23,4
Kazakhstan,30,7
Kenya,20,2
Kiribati,23,4
Kuwait,33,3
Kyrgyzstan,26,4
Laos,24,4
Latvia,43,20
Lebanon,31,7
Lesotho,22,5
Liberia,19,3
Libya,29,4
Lithuania,43,20
Luxembourg,39,14
Macao,39,10
Macedonia,39,14
Madagascar,19,3
Malawi,18,3
Malaysia,29,7
Maldives,30,4
Mali,16,3
Malta,42,20
Martinique,45,17
Mauritania,20,3
Mauritius,37,11
Mayotte,20,2
Mexico,29,7
Micronesia,23,4
Moldova,37,11
Mongolia,28,4
Montenegro,39,15
Morocco,29,7
Mozambique,17,3
Myanmar,29,6
Namibia,22,4
Nepal,25,6
Netherlands,43,19
New Caledonia,33,9
New Zealand,37,16
Nicaragua,27,5
Niger,15,3
Nigeria,18,3
North Korea,35,9
Norway,39,17
Oman,30,2
Pakistan,23,4
Palestine,20,3
Panama,29,8
Papua New Guinea,22,3
Paraguay,26,6
Peru,29,8
Philippines,25,5
Poland,41,18
Portugal,46,22
Puerto Rico,38,19
Qatar,31,1
Romania,43,18
Russia,39,15
Rwanda,20,3
Saint Lucia,34,10
Saint Vincent and the Grenadines,31,10
Samoa,22,5
Sao Tome and Principe,18,3
Saudi Arabia,31,3
Senegal,18,3
Serbia,41,18
Seychelles,36,8
Sierra Leone,19,3
Singapore,42,11
Slovakia,41,16
Slovenia,44,20
Solomon Islands,20,4
Somalia,16,3
South Africa,27,5
South Korea,43,14
South Sudan,19,3
Spain,45,19
Sri Lanka,34,10
Sudan,19,4
Suriname,29,7
Swaziland,21,4
Sweden,41,20
Switzerland,43,19
Syria,21,5
Taiwan,42,14
Tajikistan,23,3
Tanzania,17,3
Thailand,40,12
Timor,18,4
Togo,19,3
Tonga,22,6
Trinidad and Tobago,36,11
Tunisia,32,8
Turkey,31,8
Turkmenistan,26,4
Uganda,16,2
Ukraine,41,16
United Arab Emirates,34,1
United Kingdom,40,18
United States,38,16
United States Virgin Islands,42,19
Uruguay,35,15
Uzbekistan,28,4
Vanuatu,23,4
Venezuela,29,7
Vietnam,32,7
Western Sahara,28,4
Yemen,20,3
Zambia,17,2
Zimbabwe,19,3
